Search Term,Date,Hour,Minute,User ID,Total Unique Searches,Search Depth,Time after Search
Absolute Return,20180403,02,31,U000IDA,1,15,494.00
Absolute Return,20180409,07,47,Anonymous-User,1,0,0.00
Absolute Return,20180502,10,07,Anonymous-User,1,24,341.00
Absolute Return,20180502,10,25,5b52b400-0f4e-e811-bd6d-00155d9b4cc4,1,2,49.00
Absolute Return,20180509,06,01,Anonymous-User,1,0,0.00
Absolute Return,20180509,10,01,5b52b400-0f4e-e811-bd6d-00155d9b4cc4,1,0,47.00
Absolute Return,20180514,07,31,Anonymous-User,1,3,281.00
Absolute Return,20180625,10,23,Anonymous-User,1,0,0.00
absolute return AUM,20180420,11,30,2b36d866-522c-e811-810e-c4346bdc0301,1,0,12.00
account lifecycle,20180619,10,10,U001KI4,1,0,8.00
account lockdown,20180409,16,37,9ab8c295-4004-e711-80fc-5065f38bf1b1,1,0,8.00
account lockdown,20180410,15,21,9ab8c295-4004-e711-80fc-5065f38bf1b1,1,0,9.00
account lockout,20180409,16,37,9ab8c295-4004-e711-80fc-5065f38bf1b1,1,2,21.00
accountants wealth management,20180423,13,06,Anonymous-User,1,0,10.00
active,20180419,16,46,2b36d866-522c-e811-810e-c4346bdc0301,1,1,41.00
active,20180509,13,20,Anonymous-User,1,1,50.00
active,20180606,12,08,5b52b400-0f4e-e811-bd6d-00155d9b4cc4,1,0,0.00
Active and Passive,20180525,15,48,Anonymous-User,1,3,256.00
active and passive aum,20180424,15,55,U001KXE,1,0,81.00
active concentrated,20180622,10,11,2b36d866-522c-e811-810e-c4346bdc0301,1,0,0.00
active concentrated equity,20180622,10,11,2b36d866-522c-e811-810e-c4346bdc0301,1,0,9.00
active etf,20180625,15,23,U0017G3,1,0,0.00
active etfs,20180420,09,43,2b36d866-522c-e811-810e-c4346bdc0301,1,0,345.00
active fixed income,20180614,08,24,U0001LE,1,0,63.00
active management,20180411,15,54,Anonymous-User,1,5,117.00
active management,20180509,13,21,Anonymous-User,1,0,0.00
active passive,20180416,08,31,U0016TI,1,11,282.00
active passive,20180424,14,48,U001KXE,1,0,171.00
active passive,20180425,10,17,U001HPR,1,0,16.00
active passive,20180507,10,32,Anonymous-User,1,0,26.00
active share,20180411,09,23,9447e3ba-0073-e711-9401-00155d614304,1,10,433.00
active to passive,20180507,17,51,b1aac45d-55df-e711-810b-c4346bdca201,1,0,51.00
active versus passive,20180419,14,16,U0010UV,1,0,48.00
active vs passive,20180507,17,50,b1aac45d-55df-e711-810b-c4346bdca201,1,0,44.00
active vs passive,20180522,20,09,07631dd7-6b87-e711-810b-5065f38afab1,1,1,198.00
active vs passive,20180614,17,27,dd2a3809-2029-e811-bbd3-00155d9b6fb4,1,2,1258.00
addressing the needs of the wealthy,20180509,08,50,bf8c124f-032e-e811-bbd3-00155d9b6fb4,1,0,0.00
advanced planning,20180502,19,20,dfd03f16-e1fa-e711-90cd-00155d9b643b,1,3,1171.00
advice,20180517,08,47,041bcfa0-3b08-e811-90cd-00155d9b643b,1,0,68.00
Advice,20180529,07,07,038484ac-5241-e811-a822-00155d9b3b30,1,0,0.00
Advice and Managed accounts,20180417,09,23,U0001J3,1,3,1160.00
Advice Market,20180405,17,05,Anonymous-User,1,3,134.00
advice orientation,20180611,18,11,U001GAD,1,28,617.00
advice product demand,20180419,13,09,Anonymous-User,1,0,9.00
advice relationshihps,20180521,11,54,U00195N,1,0,6.00
advice relationships,20180521,11,55,U00195N,1,0,12.00
adviser metrics,20180426,03,55,Anonymous-User,1,0,23.00
advisers,20180426,03,55,Anonymous-User,1,4,75.00
advisers,20180629,13,09,Anonymous-User,1,0,55.00
advisor,20180413,12,00,U000K9M,1,0,56.00
advisor,20180416,09,42,U000K9M,1,0,3.00
advisor,20180424,14,22,0092382e-4fbe-e711-8107-c4346bdca201,1,0,0.00
advisor,20180501,11,17,U001ETV,1,1,32.00
advisor,20180606,20,04,U001D75,1,0,7.00
advisor,20180607,15,50,f71f848c-856a-e811-8120-c4346bdc0301,1,0,20.00
advisor,20180608,17,56,6d4b199d-b032-e811-8113-c4346bdca201,1,1,33.00
Advisor,20180521,09,24,U000XR9,1,0,40.00
Advisor,20180521,11,14,U001LCE,1,0,66.00
Advisor,20180525,16,51,U000FI1,1,0,0.00
